countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
Mozambique,79,0,0,0,12,0,67,0,2246,0.0,15.2
Sint Maarten,76,0,13,0,44,0,19,7,329,17.1,57.9
Cayman Islands,74,0,1,0,10,0,63,3,1927,1.4,13.5
Chad,73,0,5,0,33,0,35,0,0,6.8,45.2
CAR,72,0,0,0,10,0,62,0,0,0.0,13.9
Libya,63,0,3,0,18,0,42,0,1949,4.8,28.6
Nepal,59,0,0,0,16,0,43,0,60374,0.0,27.1
Macau,45,0,0,0,37,0,8,1,0,0.0,82.2
South Sudan,45,0,0,0,0,0,45,0,1247,0.0,0.0
Syria,44,0,3,0,27,0,14,0,0,6.8,61.4
Zimbabwe,40,0,4,0,5,0,31,0,7642,10.0,12.5
Eritrea,39,0,0,0,26,0,13,0,0,0.0,66.7
Mongolia,39,1,0,0,10,0,29,0,8022,0.0,25.6
Saint Martin,38,0,3,0,27,0,8,3,0,7.9,71.1
Malawi,37,0,3,0,9,0,25,1,831,8.1,24.3
Tajikistan,32,17,0,0,0,0,32,0,0,0.0,0.0
Angola,30,0,2,0,11,0,17,0,481,6.7,36.7
Antigua and Barbuda,25,0,3,0,15,0,7,1,151,12.0,60.0
Timor-Leste,24,0,0,0,16,0,8,0,322,0.0,66.7
Botswana,23,0,1,0,8,0,14,0,7675,4.3,34.8
Grenada,20,0,0,0,13,0,7,4,1406,0.0,65.0
Laos,19,0,0,0,8,0,11,0,2165,0.0,42.1
